node_id,lat,lon,junction_complexity
249087231,12.9505665,77.5787393,5
249087334,12.9519159,77.5765677,3
249087355,12.952782,77.5766131,3
249087378,12.9537308,77.5781568,3
249087379,12.9527146,77.5770612,3
249087729,12.9528205,77.5767865,3
249087754,12.9587276,77.5783985,4
249087792,12.9588543,77.5776494,4
249087814,12.9617626,77.5769816,3
249087933,12.9647596,77.5840668,3
249087934,12.9652673,77.5842282,4
249087938,12.9659765,77.5867815,3
249088109,12.9682282,77.5888135,1
249088160,12.9770696,77.5912356,3
249088221,12.974771,77.593363,3
249088244,12.9768493,77.5984001,3
249096054,12.9486223,77.593039,3
249096071,12.9438721,77.5852677,3
249098140,12.9437137,77.5853745,3
249098539,12.9521773,77.5960894,3
249098540,12.9514271,77.5969535,4
249098541,12.9502718,77.5982605,4
249098610,12.9512697,77.5952282,5
249098611,12.949363,77.5962514,4
249098613,12.9481828,77.5972235,4
249098614,12.9475527,77.5981615,4
249098615,12.9472274,77.5986244,4
249098617,12.9465496,77.6004569,3
249098828,12.9509173,77.5945659,3
249098829,12.948485,77.5958426,4
249098830,12.9504837,77.593751,3
249098831,12.948057,77.5950069,4
249098999,12.949728,77.5969653,4
249099063,12.9488433,77.596559,3
